word,logfreq,Cat,L,RunNum
ability,2.8325,N_hi,7,3
accordion,1.6721,N_lm,9,1
addict,2.2878,N_hm,6,3
afterlife,1.7993,N_lm,9,3
afternoon,3.4146,N_hi,9,4
anatomy,2.1004,N_hm,7,2
antelope,1.5315,N_lo,8,4
article,2.7435,N_hi,7,2
artillery,2.2253,N_hm,9,4
assistance,2.6513,N_hi,10,1
astronomer,1.4771,N_lo,10,2
baccarat,1.415,N_lo,8,3
basement,2.8325,N_hi,8,3
basket,2.6325,N_hi,6,4
bathroom,3.2639,N_hi,8,2
belief,2.4942,N_hi,6,1
bicarbonate,1.4314,N_lo,11,1
biography,1.7853,N_lm,9,4
bookcase,1.5441,N_lo,8,4
broker,2.0719,N_hm,6,1
caretaker,1.8195,N_lm,9,2
cartoon,2.1271,N_hm,7,3
certainty,2.1038,N_hm,9,2
character,3.0682,N_hi,9,3
charade,2.0043,N_hm,7,4
cognac,1.9345,N_hm,6,1
committee,2.7235,N_hi,9,4
communion,1.8261,N_lm,9,1
compliance,1.5563,N_lo,10,2
concert,2.6212,N_hi,7,2
container,2.1614,N_hm,9,3
controversy,1.8451,N_lm,11,3
copier,1.4314,N_lo,6,3
credibility,2.1461,N_hm,11,2
critic,2.1038,N_hm,6,4
crusader,1.6721,N_lm,8,4
dealer,2.6955,N_hi,6,1
defeatist,1.301,N_lo,9,1
defender,2.0492,N_hm,8,1
definition,2.3636,N_hm,10,3
dependence,1.3424,N_lo,10,4
detector,2.1072,N_hm,8,2
dinner,3.5976,N_hi,6,3
disappearance,2.2201,N_hm,13,4
distraction,2.2068,N_hm,11,1
dollar,2.941,N_hi,6,4
drummer,2.0492,N_hm,7,3
duckling,1.3802,N_lo,8,2
elimination,1.6721,N_lm,11,2
eulogy,1.6335,N_lm,6,1
expectation,1.7993,N_lm,11,3
facility,2.673,N_hi,8,2
factory,2.6848,N_hi,7,1
hairball,1.415,N_lo,8,3
hairline,1.7482,N_lm,8,4
hesitation,1.9345,N_hm,10,2
hibernation,1.301,N_lo,11,1
horoscope,1.6232,N_lm,9,2
horror,2.5263,N_hi,6,3
hovercraft,1.1461,N_lo,10,4
humility,1.9912,N_hm,8,4
imposter,1.4624,N_lo,8,2
incentive,1.9638,N_hm,9,1
inhalation,1.4624,N_lo,10,3
innkeeper,1.3617,N_lo,9,1
insanity,2.4594,N_hi,8,4
installation,1.7482,N_lm,12,1
intellect,1.9956,N_hm,9,3
itinerary,1.8261,N_lm,9,3
jailhouse,1.6335,N_lm,9,4
kilt,1.3424,N_lo,4,4
kimono,1.4771,N_lo,6,2
luggage,2.574,N_hi,7,2
magnet,1.9777,N_hm,6,2
manuscript,1.9085,N_hm,10,4
meanie,1.2553,N_lo,6,3
militia,1.6812,N_lm,7,2
million,3.4029,N_hi,7,1
month,3.4618,N_hi,5,3
musician,2.3201,N_hm,8,1
mysticism,1.3222,N_lo,9,1
negligence,1.8451,N_lm,10,1
nightclub,2.243,N_hm,9,3
obscurity,1.4314,N_lo,9,4
observation,2.5038,N_hi,11,4
pasture,1.8261,N_lm,7,3
pavement,1.9685,N_hm,8,2
payment,2.616,N_hi,7,2
pipeline,1.7559,N_lm,8,4
policy,2.9284,N_hi,6,1
predecessor,1.6232,N_lm,11,2
registry,1.7482,N_lm,8,1
replica,1.716,N_lm,7,3
revolution,2.5105,N_hi,10,3
scrutiny,1.7324,N_lm,8,4
seduction,1.6532,N_lm,9,2
settlement,2.3365,N_hm,10,4
shoplifter,1.301,N_lo,10,2
shotgun,2.5391,N_hi,7,4
simpleton,1.3617,N_lo,9,3
society,3.0111,N_hi,7,2
specialty,2.382,N_hm,9,1
sphere,1.6812,N_lm,6,1
spokesman,1.7324,N_lm,9,3
stairwell,1.9191,N_hm,9,3
starlet,1.4314,N_lo,7,1
stepfather,1.9542,N_hm,10,2
student,3.0573,N_hi,7,1
sulphur,1.3617,N_lo,7,4
supremacy,1.3222,N_lo,9,2
surname,1.5441,N_lo,7,3
syndrome,2.2833,N_hm,8,4
system,3.3504,N_hi,6,3
teaspoon,1.3424,N_lo,8,1
teenager,2.4609,N_hi,8,4
thoroughfare,1.415,N_lo,12,4
ticket,3.1216,N_hi,6,2
titanium,1.8388,N_lm,8,4
treaty,2.0899,N_hm,6,1
turpentine,1.5185,N_lo,10,2
unrest,1.699,N_lm,6,2
uranium,1.6721,N_lm,7,1
vendetta,1.699,N_lm,8,3
veranda,1.5315,N_lo,7,3
vigilance,1.415,N_lo,9,1
weekend,3.2082,N_hi,7,1
wrapper,1.8451,N_lm,7,4
wristwatch,1.6232,N_lm,10,2
selfish,2.8325,A_hi,7,3
frightful,1.6721,A_lm,9,1
lethal,2.2878,A_hm,6,3
undivided,1.7993,A_lm,9,3
excellent,3.4146,A_hi,9,4
unarmed,2.1004,A_hm,7,2
vengeful,1.5315,A_lo,8,4
awkward,2.7435,A_hi,7,2
stressful,2.2253,A_hm,9,4
remarkable,2.6513,A_hi,10,1
admissible,1.4771,A_lo,10,2
vigorous,1.415,A_lo,8,3
critical,2.8325,A_hi,8,3
unfair,2.6325,A_hi,6,4
terrific,3.2639,A_hi,8,2
sticky,2.4942,A_hi,6,1
pessimistic,1.4314,A_lo,11,1
energetic,1.7853,A_lm,9,4
timeless,1.5441,A_lo,8,4
solemn,2.0719,A_hm,6,1
plausible,1.8195,A_lm,9,2
passive,2.1271,A_hm,7,3
voluntary,2.1038,A_hm,9,2
expensive,3.0682,A_hi,9,3
persian,2.0043,A_hm,7,4
fruity,1.9345,A_hm,6,1
permanent,2.7235,A_hi,9,4
nostalgic,1.8261,A_lm,9,1
horrendous,1.5563,A_lo,10,2
magical,2.6212,A_hi,7,2
classical,2.1614,A_hm,9,3
consecutive,1.8451,A_lm,11,3
wobbly,1.4314,A_lo,6,3
predictable,2.1461,A_hm,11,2
spinal,2.1038,A_hm,6,4
humorous,1.6721,A_lm,8,4
modern,2.6955,A_hi,6,1
laughable,1.301,A_lo,9,1
hawaiian,2.0492,A_hm,8,1
sufficient,2.3636,A_hm,10,3
proficient,1.3424,A_lo,10,4
eligible,2.1072,A_hm,8,2
simple,3.5976,A_hi,6,3
superstitious,2.2201,A_hm,13,4
frustrating,2.2068,A_hm,11,1
rotten,2.941,A_hi,6,4
devious,2.0492,A_hm,7,3
resolute,1.3802,A_lo,8,2
microscopic,1.6721,A_lm,11,2
innate,1.6335,A_lm,6,1
unavailable,1.7993,A_lm,11,3
dreadful,2.673,A_hi,8,2
typical,2.6848,A_hi,7,1
proximal,1.415,A_lo,8,3
doubtful,1.7482,A_lm,8,4
distraught,1.9345,A_hm,10,2
unscheduled,1.301,A_lo,11,1
botanical,1.6232,A_lm,9,2
classy,2.5263,A_hi,6,3
obligatory,1.1461,A_lo,10,4
coronary,1.9912,A_hm,8,4
venetian,1.4624,A_lo,8,2
monstrous,1.9638,A_hm,9,1
incidental,1.4624,A_lo,10,3
ambiguous,1.3617,A_lo,9,1
splendid,2.4594,A_hi,8,4
unattractive,1.7482,A_lm,12,1
molecular,1.9956,A_hm,9,3
oblivious,1.8261,A_lm,9,3
advisable,1.6335,A_lm,9,4
rife,1.3424,A_lo,4,4
potted,1.4771,A_lo,6,2
bizarre,2.574,A_hi,7,2
joyous,1.9777,A_hm,6,2
victorious,1.9085,A_hm,10,4
untidy,1.2553,A_lo,6,3
worldly,1.6812,A_lm,7,2
careful,3.4029,A_hi,7,1
silly,3.4618,A_hi,5,3
relevant,2.3201,A_hm,8,1
debatable,1.3222,A_lo,9,1
disorderly,1.8451,A_lm,10,1
heartless,2.243,A_hm,9,3
overjoyed,1.4314,A_lo,9,4
significant,2.5038,A_hi,11,4
pompous,1.8261,A_lm,7,3
solitary,1.9685,A_hm,8,2
intense,2.616,A_hi,7,2
youthful,1.7559,A_lm,8,4
urgent,2.9284,A_hi,6,1
extravagant,1.6232,A_lm,11,2
culinary,1.7482,A_lm,8,1
prudent,1.716,A_lm,7,3
